Altium Designer Pick and Place Locations
C:\Users\Wim\SynologyDrive\Drive\Electronics\Fri3D_2020_GameOn_02\.\OUTPUT\Pick Place\Pick Place for Fri3D_2020_GameOn_Panel_02.csv

========================================================================================================================
File Design Information:

Date:       06/06/22
Time:       15:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW7","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","77.7500","46.0000","0",""
"SW6","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","12.2500","46.0000","0",""
"R1","RESISTOR","TopLayer","R0603_N","40.2501","17.1001","0",""
"C1","CAP_CERAMIC","TopLayer","C0603_N","36.8466","18.7001","180","Capacitor Ceramic"
"R9","RESISTOR","TopLayer","R0603_N","35.7501","8.9999","270",""
"R8","RESISTOR","TopLayer","R0603_N","45.0001","8.9999","270",""
"P4","Header 4","TopLayer","HDR1X4","81.7300","12.0000","180",""
"R7","RESISTOR","TopLayer","R0603_N","36.8499","17.0999","180",""
"P2","MicroBit 180deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_180","45.0000","42.6050","0",""
"TP2","TEST_PAD","BottomLayer","TP_1.2mm","75.0000","37.0000","180",""
"TP1","TEST_PAD","BottomLayer","TP_1.2mm","15.0000","37.0000","180",""
"ENC1","Rotary Encoder with Switch","TopLayer","PEC11-4215F-S0024","8.0000","25.5000","180",""
"U1","5W Class D mono amplifier inducter-less Differential input MSOP8","TopLayer","MAX_uSOP8","45.5000","18.7500","0","=Description"
"SW5","5Way Tact switch","TopLayer","TACTSW_5W_K1-1506DN-01","20.0000","13.6000","0",""
"SW3","Default TH TACT","TopLayer","TACTSW","40.0000","9.0000","0",""
"SW2","Default TH TACT","TopLayer","TACTSW","50.0000","9.0000","0",""
"SW4","Default TH TACT","TopLayer","TACTSW","60.0000","9.0000","0",""
"SW1","Default TH TACT","TopLayer","TACTSW","70.0000","14.0000","0",""
"R2","RESISTOR","TopLayer","R0603_N","40.2501","18.7001","0",""
"R3","RESISTOR","TopLayer","R0603_N","71.5001","25.7501","0",""
"R6","RESISTOR","TopLayer","R0603_N","71.5001","24.2501","0",""
"R5","RESISTOR","TopLayer","R0603_N","71.5001","19.2501","0",""
"R4","RESISTOR","TopLayer","R0603_N","71.5001","20.7501","0",""
"P1","MicroBit 90deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_90","45.0000","40.3000","0",""
"P3","Header 2","TopLayer","HDR1X2","57.0000","18.7000","270",""
"J1","Micro SD PiPo Push-Push","TopLayer","TFP09-2-12B","80.0000","23.2500","90","=Description"
"F2","FERRITE","TopLayer","L0805","52.0000","20.5000","0",""
"F1","FERRITE","TopLayer","L0805","52.0000","16.9000","0",""
